（修改版地址）（原装版地址）（第４部分地址）指令（参１|参２|参３）
（0x0003B624）（0x0003AA80）（0x000022F8）：6800（6204|    |    ）
（0x0003BDD4）（0x0003B230）（0x00002AA8）：6800（5C05|    |    ）
（0x0008B54C）（0x0008A9A8）（0x00052220）：6800（47A4|    |    ）
（0x0008B574）（0x0008A9D0）（0x00052248）：6800（    |    |    ）
（0x0008B58C）（0x0008A9E8）（0x00052260）：6800（4FA4|    |    ）
（0x0008B5B4）（0x0008AA10）（0x00052288）：6800（    |    |    ）
（0x0008B5CC）（0x0008AA28）（0x000522A0）：6800（089A|    |    ）
（0x0008B5E4）（0x0008AA40）（0x000522B8）：6800（    |    |    ）
（0x0008B6D4）（0x0008AB30）（0x000523A8）：6800（79A4|    |    ）
（0x0008B70C）（0x0008AB68）（0x000523E0）：6800（80A4|    |    ）
（0x0008B7DC）（0x0008AC38）（0x000524B0）：6800（9BA4|    |    ）
