（修改版地址）（原装版地址）（第４部分地址）指令（参１|参２|参３）
（0x00040A74）（0x0003FED0）（0x00007748）：7B00（1B00|6000|    ）
（0x00040FA4）（0x00040400）（0x00007C78）：7B00（2C00|4500|    ）
（0x0004176C）（0x00040BC8）（0x00008440）：7B00（2300|5400|0100）
（0x00041774）（0x00040BD0）（0x00008448）：7B00（2200|5500|0100）
（0x0004C4B4）（0x0004B910）（0x00013188）：7B00（1500|4C00|    ）
（0x0004C6D4）（0x0004BB30）（0x000133A8）：7B00（2000|5400|    ）
（0x0004C6FC）（0x0004BB58）（0x000133D0）：7B00（1F00|5300|    ）
（0x0004C704）（0x0004BB60）（0x000133D8）：7B00（2100|5100|    ）
（0x00058504）（0x00057960）（0x0001F1D8）：7B00（1C00|4600|0100）
（0x0005A8DC）（0x00059D38）（0x000215B0）：7B00（2800|3F00|0100）
（0x0005A8E4）（0x00059D40）（0x000215B8）：7B00（2600|3D00|0100）
（0x0005B3A4）（0x0005A800）（0x00022078）：7B00（1000|3A00|    ）
（0x0005C6EC）（0x0005BB48）（0x000233C0）：7B00（1100|1B00|    ）
（0x0005C6F4）（0x0005BB50）（0x000233C8）：7B00（0F00|1900|    ）
（0x0005CC0C）（0x0005C068）（0x000238E0）：7B00（1700|1F00|0100）
（0x0005CE0C）（0x0005C268）（0x00023AE0）：7B00（2800|1100|0100）
（0x0005CE14）（0x0005C270）（0x00023AE8）：7B00（2300|1700|    ）
（0x0005DAB4）（0x0005CF10）（0x00024788）：7B00（0A00|0F00|    ）
（0x0006363C）（0x00062A98）（0x0002A310）：7B00（1E00|2400|0100）
（0x00063644）（0x00062AA0）（0x0002A318）：7B00（2300|1F00|0100）
（0x0006707C）（0x000664D8）（0x0002DD50）：7B00（1200|5800|0100）
（0x000670AC）（0x00066508）（0x0002DD80）：7B00（1500|5B00|    ）
（0x0006B664）（0x0006AAC0）（0x00032338）：7B00（1900|3700|0100）
（0x0006C2D4）（0x0006B730）（0x00032FA8）：7B00（2A00|5300|    ）
（0x0006C554）（0x0006B9B0）（0x00033228）：7B00（2B00|5100|0100）
（0x0006C55C）（0x0006B9B8）（0x00033230）：7B00（2900|4F00|    ）
（0x0006C564）（0x0006B9C0）（0x00033238）：7B00（2B00|4C00|0100）
（0x0006E19C）（0x0006D5F8）（0x00034E70）：7B00（1600|5900|0100）
（0x0006E1A4）（0x0006D600）（0x00034E78）：7B00（1700|5A00|0100）
（0x0006E1AC）（0x0006D608）（0x00034E80）：7B00（2100|5000|0100）
（0x0006E1B4）（0x0006D610）（0x00034E88）：7B00（2000|4F00|0100）
（0x0006F50C）（0x0006E968）（0x000361E0）：7B00（0B00|2500|0100）
（0x000708CC）（0x0006FD28）（0x000375A0）：7B00（3100|1900|0100）
（0x00073204）（0x00072660）（0x00039ED8）：7B00（1C00|4200|0100）
（0x00075D6C）（0x000751C8）（0x0003CA40）：7B00（1500|4900|    ）
（0x00075D74）（0x000751D0）（0x0003CA48）：7B00（1800|4500|0100）
（0x00075D7C）（0x000751D8）（0x0003CA50）：7B00（1500|4200|0100）
（0x00075DCC）（0x00075228）（0x0003CAA0）：7B00（1700|4000|0100）
（0x000781D4）（0x00077630）（0x0003EEA8）：7B00（1800|2400|    ）
（0x000781F4）（0x00077650）（0x0003EEC8）：7B00（1100|1D00|0100）
（0x00078504）（0x00077960）（0x0003F1D8）：7B00（1000|1F00|    ）
（0x0007B01C）（0x0007A478）（0x00041CF0）：7B00（2300|4500|    ）
（0x0007B024）（0x0007A480）（0x00041CF8）：7B00（2200|4400|    ）
（0x0007B6BC）（0x0007AB18）（0x00042390）：7B00（1900|5200|    ）
（0x0007B6CC）（0x0007AB28）（0x000423A0）：7B00（1C00|5500|0100）
（0x0007B6D4）（0x0007AB30）（0x000423A8）：7B00（1D00|5400|0100）
（0x0007B734）（0x0007AB90）（0x00042408）：7B00（1F00|5300|    ）
（0x0007B73C）（0x0007AB98）（0x00042410）：7B00（2300|5700|    ）
（0x0007C92C）（0x0007BD88）（0x00043600）：7B00（2500|2F00|    ）
（0x0007F89C）（0x0007ECF8）（0x00046570）：7B00（1F00|3C00|    ）
（0x0008063C）（0x0007FA98）（0x00047310）：7B00（2700|4800|    ）
（0x00080644）（0x0007FAA0）（0x00047318）：7B00（2500|4A00|    ）
（0x0008064C）（0x0007FAA8）（0x00047320）：7B00（2400|4900|0100）
（0x0008164C）（0x00080AA8）（0x00048320）：7B00（1B00|6000|    ）
（0x000816D4）（0x00080B30）（0x000483A8）：7B00（2000|2B00|0100）
（0x0008236C）（0x000817C8）（0x00049040）：7B00（0F00|1E00|0100）
