（修改版地址）（原装版地址）（第４部分地址）指令（参１|参２|参３）
（0x0004C0B4）（0x0004B510）（0x00012D88）：7F00（0400|0200|3000）
（0x0004C0DC）（0x0004B538）（0x00012DB0）：7F00（    |    |    ）
（0x0004C124）（0x0004B580）（0x00012DF8）：7F00（C000|6000|    ）
（0x0004C19C）（0x0004B5F8）（0x00012E70）：7F00（    |    |    ）
（0x00050F2C）（0x00050388）（0x00017C00）：7F00（FEFF|FFFF|4800）
（0x0005128C）（0x000506E8）（0x00017F60）：7F00（0800|0400|1000）
（0x00051424）（0x00050880）（0x000180F8）：7F00（F8FF|FCFF|0C00）
（0x000514E4）（0x00050940）（0x000181B8）：7F00（1000|0800|0400）
（0x000515B4）（0x00050A10）（0x00018288）：7F00（0800|0400|    ）
（0x000515CC）（0x00050A28）（0x000182A0）：7F00（0800|0400|    ）
（0x000515E4）（0x00050A40）（0x000182B8）：7F00（0800|0400|    ）
（0x000515F4）（0x00050A50）（0x000182C8）：7F00（0800|0400|    ）
（0x00053464）（0x000528C0）（0x0001A138）：7F00（1000|F8FF|    ）
（0x0005347C）（0x000528D8）（0x0001A150）：7F00（1000|F8FF|    ）
（0x0005348C）（0x000528E8）（0x0001A160）：7F00（1000|F8FF|    ）
（0x0005349C）（0x000528F8）（0x0001A170）：7F00（1000|F8FF|    ）
（0x000534AC）（0x00052908）（0x0001A180）：7F00（1000|F8FF|    ）
（0x000534BC）（0x00052918）（0x0001A190）：7F00（1000|F8FF|    ）
（0x000534CC）（0x00052928）（0x0001A1A0）：7F00（1000|F8FF|    ）
（0x000534DC）（0x00052938）（0x0001A1B0）：7F00（1000|F8FF|    ）
（0x0005362C）（0x00052A88）（0x0001A300）：7F00（    |    |FFFF）
（0x0005A9AC）（0x00059E08）（0x00021680）：7F00（1000|0800|0800）
（0x0005A9D4）（0x00059E30）（0x000216A8）：7F00（F0FF|F8FF|0800）
（0x0005DB04）（0x0005CF60）（0x000247D8）：7F00（0400|    |3000）
（0x0005DB14）（0x0005CF70）（0x000247E8）：7F00（F0FF|    |0C00）
（0x000624BC）（0x00061918）（0x00029190）：7F00（    |0400|2800）
（0x00062684）（0x00061AE0）（0x00029358）：7F00（    |    |    ）
（0x00066714）（0x00065B70）（0x0002D3E8）：7F00（0800|FAFF|1600）
（0x00066C84）（0x000660E0）（0x0002D958）：7F00（    |    |    ）
（0x00067CB4）（0x00067110）（0x0002E988）：7F00（0400|0200|0A00）
（0x00068114）（0x00067570）（0x0002EDE8）：7F00（FEFF|FFFF|1400）
（0x0006A8DC）（0x00069D38）（0x000315B0）：7F00（8000|A0FF|    ）
（0x0006A8EC）（0x00069D48）（0x000315C0）：7F00（0A00|F9FF|2A00）
（0x0006A904）（0x00069D60）（0x000315D8）：7F00（    |    |    ）
（0x0006C2E4）（0x0006B740）（0x00032FB8）：7F00（    |FCFF|1C00）
（0x0006C534）（0x0006B990）（0x00033208）：7F00（    |0E00|0800）
（0x0006C6A4）（0x0006BB00）（0x00033378）：7F00（2A00|2000|FFFF）
（0x0006C6AC）（0x0006BB08）（0x00033380）：7F00（    |1800|1200）
（0x0006C6B4）（0x0006BB10）（0x00033388）：7F00（    |    |    ）
（0x0006CBDC）（0x0006C038）（0x000338B0）：7F00（    |    |    ）
（0x0006CC1C）（0x0006C078）（0x000338F0）：7F00（    |    |    ）
（0x0006D354）（0x0006C7B0）（0x00034028）：7F00（2A00|1800|FFFF）
（0x0006D4F4）（0x0006C950）（0x000341C8）：7F00（0F00|3800|FFFF）
（0x0006D5A4）（0x0006CA00）（0x00034278）：7F00（1C00|2300|FFFF）
（0x0006E12C）（0x0006D588）（0x00034E00）：7F00（    |F0FF|6400）
（0x0006E134）（0x0006D590）（0x00034E08）：7F00（    |F8FF|1400）
（0x0006E13C）（0x0006D598）（0x00034E10）：7F00（    |0400|2800）
（0x0006E14C）（0x0006D5A8）（0x00034E20）：7F00（    |    |    ）
（0x000708DC）（0x0006FD38）（0x000375B0）：7F00（0400|FCFF|1800）
（0x000708E4）（0x0006FD40）（0x000375B8）：7F00（    |FEFF|3800）
（0x0007090C）（0x0006FD68）（0x000375E0）：7F00（    |    |    ）
（0x00070974）（0x0006FDD0）（0x00037648）：7F00（3400|0B00|FFFF）
（0x000709AC）（0x0006FE08）（0x00037680）：7F00（    |    |    ）
（0x00070A34）（0x0006FE90）（0x00037708）：7F00（3400|0B00|FFFF）
（0x00070A74）（0x0006FED0）（0x00037748）：7F00（    |    |    ）
（0x00070AE4）（0x0006FF40）（0x000377B8）：7F00（3400|0B00|FFFF）
（0x00070B0C）（0x0006FF68）（0x000377E0）：7F00（    |    |    ）
（0x00070B74）（0x0006FFD0）（0x00037848）：7F00（    |    |    ）
（0x0007315C）（0x000725B8）（0x00039E30）：7F00（    |F8FF|2200）
（0x0007316C）（0x000725C8）（0x00039E40）：7F00（    |    |    ）
