（修改版地址）（原装版地址）（第４部分地址）指令（参１|参２|参３）
（0x0003D6CC）（0x0003CB28）（0x000043A0）：6D00（0801|7608|    ）
（0x00044A7C）（0x00043ED8）（0x0000B750）：6D00（0400|C714|    ）
（0x000454C4）（0x00044920）（0x0000C198）：6D00（0100|3618|    ）
（0x00045F5C）（0x000453B8）（0x0000CC30）：6D00（0800|8C19|    ）
（0x00045F8C）（0x000453E8）（0x0000CC60）：6D00（0800|    |    ）
（0x0004651C）（0x00045978）（0x0000D1F0）：6D00（0700|6F1A|    ）
（0x000466D4）（0x00045B30）（0x0000D3A8）：6D00（0400|4D0C|    ）
（0x0004703C）（0x00046498）（0x0000DD10）：6D00（0F00|4525|    ）
（0x0004768C）（0x00046AE8）（0x0000E360）：6D00（0100|731C|    ）
（0x000477B4）（0x00046C10）（0x0000E488）：6D00（0100|9F1C|    ）
（0x000480C4）（0x00047520）（0x0000ED98）：6D00（0400|021F|    ）
（0x0004B654）（0x0004AAB0）（0x00012328）：6D00（1300|6924|    ）
（0x0004F0B4）（0x0004E510）（0x00015D88）：6D00（1A00|B62B|    ）
（0x0004F354）（0x0004E7B0）（0x00016028）：6D00（1700|0B2C|    ）
（0x00051B4C）（0x00050FA8）（0x00018820）：6D00（0801|CB04|    ）
（0x00052B6C）（0x00051FC8）（0x00019840）：6D00（2400|4502|    ）
（0x00052B74）（0x00051FD0）（0x00019848）：6D00（2500|4502|    ）
（0x00053194）（0x000525F0）（0x00019E68）：6D00（2500|D033|    ）
（0x00055E14）（0x00055270）（0x0001CAE8）：6D00（3500|DA3A|    ）
（0x000563DC）（0x00055838）（0x0001D0B0）：6D00（3100|9D3C|    ）
（0x00059FDC）（0x00059438）（0x00020CB0）：6D00（3B00|    |953F）
（0x0005D2FC）（0x0005C758）（0x00023FD0）：6D00（5400|0048|    ）
（0x0005DCA4）（0x0005D100）（0x00024978）：6D00（5400|114A|    ）
（0x0005E834）（0x0005DC90）（0x00025508）：6D00（5100|AB4A|    ）
（0x0006291C）（0x00061D78）（0x000295F0）：6D00（6E00|8653|    ）
（0x00062F0C）（0x00062368）（0x00029BE0）：6D00（6A00|2B52|    ）
（0x0006361C）（0x00062A78）（0x0002A2F0）：6D00（7200|6054|    ）
（0x00063F84）（0x000633E0）（0x0002AC58）：6D00（7B00|7657|    ）
（0x00064184）（0x000635E0）（0x0002AE58）：6D00（8300|E655|    ）
（0x0006489C）（0x00063CF8）（0x0002B570）：6D00（7600|8D58|    ）
（0x00064EC4）（0x00064320）（0x0002BB98）：6D00（7800|9757|    ）
（0x00065C7C）（0x000650D8）（0x0002C950）：6D00（7500|3959|    ）
（0x0006665C）（0x00065AB8）（0x0002D330）：6D00（7C00|765A|    ）
（0x000679DC）（0x00066E38）（0x0002E6B0）：6D00（7700|DC5C|    ）
（0x0006819C）（0x000675F8）（0x0002EE70）：6D00（6C00|275E|    ）
（0x0006871C）（0x00067B78）（0x0002F3F0）：6D00（7200|885E|    ）
（0x00068724）（0x00067B80）（0x0002F3F8）：6D00（7300|885E|    ）
（0x0006872C）（0x00067B88）（0x0002F400）：6D00（7600|885E|    ）
（0x00068734）（0x00067B90）（0x0002F408）：6D00（7700|885E|    ）
（0x0006873C）（0x00067B98）（0x0002F410）：6D00（7900|885E|    ）
（0x00068744）（0x00067BA0）（0x0002F418）：6D00（7400|885E|    ）
（0x0006874C）（0x00067BA8）（0x0002F420）：6D00（7A00|885E|    ）
（0x00068754）（0x00067BB0）（0x0002F428）：6D00（7B00|885E|    ）
（0x0006875C）（0x00067BB8）（0x0002F430）：6D00（7C00|885E|    ）
（0x00069EAC）（0x00069308）（0x00030B80）：6D00（7300|7E61|    ）
（0x0006A32C）（0x00069788）（0x00031000）：6D00（7200|1062|    ）
（0x0006A334）（0x00069790）（0x00031008）：6D00（7300|1062|    ）
（0x0006A33C）（0x00069798）（0x00031010）：6D00（7400|1062|    ）
（0x0006A344）（0x000697A0）（0x00031018）：6D00（6C00|1062|    ）
（0x0006A34C）（0x000697A8）（0x00031020）：6D00（7600|1062|    ）
（0x0006A354）（0x000697B0）（0x00031028）：6D00（7700|1062|    ）
（0x0006A35C）（0x000697B8）（0x00031030）：6D00（7900|1062|    ）
（0x0006A364）（0x000697C0）（0x00031038）：6D00（7A00|1062|    ）
（0x0006A36C）（0x000697C8）（0x00031040）：6D00（7B00|1062|    ）
（0x0006A374）（0x000697D0）（0x00031048）：6D00（7C00|1062|    ）
（0x0006BBEC）（0x0006B048）（0x000328C0）：6D00（6500|2365|    ）
（0x0006F15C）（0x0006E5B8）（0x00035E30）：6D00（9E00|CA6B|    ）
（0x000721A4）（0x00071600）（0x00038E78）：6D00（9100|DC6E|    ）
（0x00075BB4）（0x00075010）（0x0003C888）：6D00（B600|6D7C|    ）
（0x00078FD4）（0x00078430）（0x0003FCA8）：6D00（B600|    |    ）
（0x0007951C）（0x00078978）（0x000401F0）：6D00（AE00|6880|    ）
（0x0007B744）（0x0007ABA0）（0x00042418）：6D00（CE00|4185|    ）
（0x0008291C）（0x00081D78）（0x000495F0）：6D00（F900|C192|    ）
（0x00082AAC）（0x00081F08）（0x00049780）：6D00（FE00|0A93|    ）
（0x00083484）（0x000828E0）（0x0004A158）：6D00（CB00|3D87|    ）
