（修改版地址）（原装版地址）（第４部分地址）指令（参１|参２|参３）
（0x0003A39C）（0x000397F8）（0x00001070）：7D00（FFFF|0400|FEFF）
（0x0003A3A4）（0x00039800）（0x00001078）：7D00（FFFF|0400|FEFF）
（0x0003A3AC）（0x00039808）（0x00001080）：7D00（FFFF|0400|FEFF）
（0x0003A3BC）（0x00039818）（0x00001090）：7D00（FFFF|0400|FEFF）
（0x0003A3C4）（0x00039820）（0x00001098）：7D00（FFFF|0400|FEFF）
（0x0003A3CC）（0x00039828）（0x000010A0）：7D00（FFFF|0400|FEFF）
（0x0003A3D4）（0x00039830）（0x000010A8）：7D00（FFFF|0400|FEFF）
（0x0003A3DC）（0x00039838）（0x000010B0）：7D00（FFFF|0400|FEFF）
（0x0003A3E4）（0x00039840）（0x000010B8）：7D00（FFFF|0400|FEFF）
（0x0003A3EC）（0x00039848）（0x000010C0）：7D00（FFFF|0400|FEFF）
（0x0003A3F4）（0x00039850）（0x000010C8）：7D00（FFFF|0400|FEFF）
（0x0003A3FC）（0x00039858）（0x000010D0）：7D00（FFFF|0400|FEFF）
（0x0003A404）（0x00039860）（0x000010D8）：7D00（FFFF|0400|FEFF）
（0x0003A40C）（0x00039868）（0x000010E0）：7D00（FFFF|0400|FEFF）
（0x0003A42C）（0x00039888）（0x00001100）：7D00（FFFF|FCFF|0200）
（0x0003A434）（0x00039890）（0x00001108）：7D00（FFFF|FCFF|0200）
（0x0003A43C）（0x00039898）（0x00001110）：7D00（FFFF|FCFF|0200）
（0x0003A44C）（0x000398A8）（0x00001120）：7D00（FFFF|FCFF|0200）
（0x0003A454）（0x000398B0）（0x00001128）：7D00（FFFF|FCFF|0200）
（0x0003A45C）（0x000398B8）（0x00001130）：7D00（FFFF|FCFF|0200）
（0x0003A464）（0x000398C0）（0x00001138）：7D00（FFFF|FCFF|0200）
（0x0003A46C）（0x000398C8）（0x00001140）：7D00（FFFF|FCFF|0200）
（0x0003A474）（0x000398D0）（0x00001148）：7D00（FFFF|FCFF|0200）
（0x0003A47C）（0x000398D8）（0x00001150）：7D00（FFFF|FCFF|0200）
（0x0003A484）（0x000398E0）（0x00001158）：7D00（FFFF|FCFF|0200）
（0x0003A48C）（0x000398E8）（0x00001160）：7D00（FFFF|FCFF|0200）
（0x0003A494）（0x000398F0）（0x00001168）：7D00（FFFF|FCFF|0200）
（0x0003A49C）（0x000398F8）（0x00001170）：7D00（FFFF|FCFF|0200）
（0x0003A4BC）（0x00039918）（0x00001190）：7D00（FFFF|0800|FCFF）
（0x0003A4C4）（0x00039920）（0x00001198）：7D00（FFFF|0800|FCFF）
（0x0003A4CC）（0x00039928）（0x000011A0）：7D00（FFFF|0800|FCFF）
（0x0003A4DC）（0x00039938）（0x000011B0）：7D00（FFFF|0800|FCFF）
（0x0003A4E4）（0x00039940）（0x000011B8）：7D00（FFFF|0800|FCFF）
（0x0003A4EC）（0x00039948）（0x000011C0）：7D00（FFFF|0800|FCFF）
（0x0003A4F4）（0x00039950）（0x000011C8）：7D00（FFFF|0800|FCFF）
（0x0003A4FC）（0x00039958）（0x000011D0）：7D00（FFFF|0800|FCFF）
（0x0003A504）（0x00039960）（0x000011D8）：7D00（FFFF|0800|FCFF）
（0x0003A50C）（0x00039968）（0x000011E0）：7D00（FFFF|0800|FCFF）
（0x0003A514）（0x00039970）（0x000011E8）：7D00（FFFF|0800|FCFF）
（0x0003A51C）（0x00039978）（0x000011F0）：7D00（FFFF|0800|FCFF）
（0x0003A524）（0x00039980）（0x000011F8）：7D00（FFFF|0800|FCFF）
（0x0003A52C）（0x00039988）（0x00001200）：7D00（FFFF|0800|FCFF）
（0x00047374）（0x000467D0）（0x0000E048）：7D00（3B00|F0FF|F0FF）
（0x00047384）（0x000467E0）（0x0000E058）：7D00（3B00|F0FF|F0FF）
（0x0004739C）（0x000467F8）（0x0000E070）：7D00（3B00|F0FF|F8FF）
（0x000473AC）（0x00046808）（0x0000E080）：7D00（3B00|F0FF|F8FF）
（0x000473CC）（0x00046828）（0x0000E0A0）：7D00（3B00|    |0200）
（0x000473DC）（0x00046838）（0x0000E0B0）：7D00（3B00|    |0400）
（0x000473EC）（0x00046848）（0x0000E0C0）：7D00（3B00|    |0800）
（0x0004762C）（0x00046A88）（0x0000E300）：7D00（3900|    |1000）
（0x0004A9A4）（0x00049E00）（0x00011678）：7D00（5701|1000|F8FF）
（0x0004C184）（0x0004B5E0）（0x00012E58）：7D00（D100|80FF|C0FF）
