（修改版地址）（原装版地址）（第４部分地址）指令（参１|参２|参３）
（0x0003AE54）（0x0003A2B0）（0x00001B28）：4C00（1800|0400|    ）
（0x00080C54）（0x000800B0）（0x00047928）：4C00（8000|0200|FFFF）
（0x00080D2C）（0x00080188）（0x00047A00）：4C00（8000|0400|FFFF）
（0x0008784C）（0x00086CA8）（0x0004E520）：4C00（0800|0600|0100）
（0x00087864）（0x00086CC0）（0x0004E538）：4C00（0800|0600|    ）
（0x0008787C）（0x00086CD8）（0x0004E550）：4C00（0800|0400|0100）
（0x00087894）（0x00086CF0）（0x0004E568）：4C00（0700|    |    ）
（0x000878AC）（0x00086D08）（0x0004E580）：4C00（    |0800|    ）
（0x000878C4）（0x00086D20）（0x0004E598）：4C00（    |    |    ）
（0x000878DC）（0x00086D38）（0x0004E5B0）：4C00（0C00|    |    ）
（0x000878F4）（0x00086D50）（0x0004E5C8）：4C00（0800|    |    ）
（0x000878FC）（0x00086D58）（0x0004E5D0）：4C00（0800|    |    ）
（0x00087904）（0x00086D60）（0x0004E5D8）：4C00（0800|    |    ）
（0x0008790C）（0x00086D68）（0x0004E5E0）：4C00（0800|    |    ）
（0x0008793C）（0x00086D98）（0x0004E610）：4C00（0800|    |    ）
（0x00087944）（0x00086DA0）（0x0004E618）：4C00（0800|    |    ）
（0x00087974）（0x00086DD0）（0x0004E648）：4C00（0600|0200|    ）
（0x0008798C）（0x00086DE8）（0x0004E660）：4C00（0900|    |    ）
（0x0008A1B4）（0x00089610）（0x00050E88）：4C00（0A00|0800|    ）
（0x0008A1BC）（0x00089618）（0x00050E90）：4C00（0A00|0800|    ）
（0x0008A1C4）（0x00089620）（0x00050E98）：4C00（0A00|0800|    ）
