（修改版地址）（原装版地址）（第４部分地址）指令（参１|参２|参３）
（0x00041CB4）（0x00041110）（0x00008988）：A300（0200|1100|    ）
（0x0005375C）（0x00052BB8）（0x0001A430）：A300（0900|0E00|    ）
（0x000563D4）（0x00055830）（0x0001D0A8）：A300（0500|3700|    ）
（0x0006C01C）（0x0006B478）（0x00032CF0）：A300（0800|0500|    ）
（0x0006CB64）（0x0006BFC0）（0x00033838）：A300（0800|0D00|    ）
（0x000709F4）（0x0006FE50）（0x000376C8）：A300（0200|1600|    ）
（0x000785CC）（0x00077A28）（0x0003F2A0）：A300（0800|1B00|    ）
（0x000840B4）（0x00083510）（0x0004AD88）：A300（FFFF|4400|    ）
（0x0008469C）（0x00083AF8）（0x0004B370）：A300（0400|4300|    ）
（0x0008BD0C）（0x0008B168）（0x000529E0）：A300（0600|3800|    ）
（0x0008BD24）（0x0008B180）（0x000529F8）：A300（0300|1800|    ）
