（修改版地址）（原装版地址）（第４部分地址）指令（参１|参２|参３）
（0x0004077C）（0x0003FBD8）（0x00007450）：9A00（4012|4112|    ）
（0x00040784）（0x0003FBE0）（0x00007458）：9A00（5212|5312|0200）
（0x0004079C）（0x0003FBF8）（0x00007470）：9A00（4412|4512|    ）
（0x000407A4）（0x0003FC00）（0x00007478）：9A00（5412|5512|0200）
（0x000407BC）（0x0003FC18）（0x00007490）：9A00（4612|4712|    ）
（0x000407C4）（0x0003FC20）（0x00007498）：9A00（5612|5712|0200）
（0x000407DC）（0x0003FC38）（0x000074B0）：9A00（4C12|4D12|    ）
（0x000407E4）（0x0003FC40）（0x000074B8）：9A00（5812|5912|0200）
（0x000407FC）（0x0003FC58）（0x000074D0）：9A00（4E12|4F12|    ）
（0x00040804）（0x0003FC60）（0x000074D8）：9A00（5A12|5B12|0200）
（0x0004081C）（0x0003FC78）（0x000074F0）：9A00（3E12|3F12|    ）
（0x00040824）（0x0003FC80）（0x000074F8）：9A00（5012|5112|0200）
（0x0004083C）（0x0003FC98）（0x00007510）：9A00（6E12|6F12|    ）
（0x00040844）（0x0003FCA0）（0x00007518）：9A00（8012|8112|0200）
（0x0004085C）（0x0003FCB8）（0x00007530）：9A00（7012|7112|    ）
（0x00040864）（0x0003FCC0）（0x00007538）：9A00（8212|8312|0200）
（0x0004087C）（0x0003FCD8）（0x00007550）：9A00（7212|7312|    ）
（0x00040884）（0x0003FCE0）（0x00007558）：9A00（8412|8512|0200）
（0x0004089C）（0x0003FCF8）（0x00007570）：9A00（7412|7512|    ）
（0x000408A4）（0x0003FD00）（0x00007578）：9A00（8612|8712|0200）
（0x000408BC）（0x0003FD18）（0x00007590）：9A00（7612|7712|    ）
（0x000408C4）（0x0003FD20）（0x00007598）：9A00（8812|8912|0200）
（0x000408DC）（0x0003FD38）（0x000075B0）：9A00（7812|7912|    ）
（0x000408E4）（0x0003FD40）（0x000075B8）：9A00（8A12|8B12|0200）
（0x000408FC）（0x0003FD58）（0x000075D0）：9A00（7A12|7B12|    ）
（0x00040904）（0x0003FD60）（0x000075D8）：9A00（8C12|8D12|0200）
（0x0004091C）（0x0003FD78）（0x000075F0）：9A00（7C12|7D12|    ）
（0x00040924）（0x0003FD80）（0x000075F8）：9A00（8E12|8F12|0200）
（0x0004093C）（0x0003FD98）（0x00007610）：9A00（7E12|7F12|    ）
（0x00040944）（0x0003FDA0）（0x00007618）：9A00（9012|9112|0200）
（0x000410A4）（0x00040500）（0x00007D78）：9A00（8A13|8C13|0100）
（0x000412BC）（0x00040718）（0x00007F90）：9A00（8813|8913|    ）
（0x000412E4）（0x00040740）（0x00007FB8）：9A00（8A13|8C13|    ）
（0x000450EC）（0x00044548）（0x0000BDC0）：9A00（6600|6700|0200）
（0x00045104）（0x00044560）（0x0000BDD8）：9A00（6800|6900|0200）
（0x000451CC）（0x00044628）（0x0000BEA0）：9A00（4E00|5E00|    ）
（0x00046FEC）（0x00046448）（0x0000DCC0）：9A00（1501|1B01|    ）
（0x00046FF4）（0x00046450）（0x0000DCC8）：9A00（6201|6701|0200）
（0x0004B0DC）（0x0004A538）（0x00011DB0）：9A00（6801|6A01|    ）
（0x0004B0E4）（0x0004A540）（0x00011DB8）：9A00（1501|1B01|0200）
（0x0004B564）（0x0004A9C0）（0x00012238）：9A00（6201|6701|    ）
（0x0004B61C）（0x0004AA78）（0x000122F0）：9A00（5600|5E00|    ）
（0x0004B694）（0x0004AAF0）（0x00012368）：9A00（1D01|3801|0200）
（0x0004F074）（0x0004E4D0）（0x00015D48）：9A00（B701|C501|    ）
（0x0004F24C）（0x0004E6A8）（0x00015F20）：9A00（E301|EC01|    ）
（0x00059FE4）（0x00059440）（0x00020CB8）：9A00（B504|BE04|    ）
（0x00059FEC）（0x00059448）（0x00020CC0）：9A00（D004|E104|    ）
（0x00059FF4）（0x00059450）（0x00020CC8）：9A00（E504|FE04|    ）
（0x00059FFC）（0x00059458）（0x00020CD0）：9A00（8404|A804|    ）
（0x0005A004）（0x00059460）（0x00020CD8）：9A00（4A05|7105|    ）
（0x0005A00C）（0x00059468）（0x00020CE0）：9A00（2004|3804|    ）
（0x0005A014）（0x00059470）（0x00020CE8）：9A00（9403|9B03|    ）
（0x0005A01C）（0x00059478）（0x00020CF0）：9A00（7903|8203|    ）
（0x0005A024）（0x00059480）（0x00020CF8）：9A00（4E03|5C03|    ）
（0x0005A02C）（0x00059488）（0x00020D00）：9A00（4103|4803|    ）
（0x0005CDAC）（0x0005C208）（0x00023A80）：9A00（B106|B806|    ）
（0x0005D654）（0x0005CAB0）（0x00024328）：9A00（BE06|C606|0200）
（0x0005DB84）（0x0005CFE0）（0x00024858）：9A00（BE06|C606|    ）
（0x0005E68C）（0x0005DAE8）（0x00025360）：9A00（F706|FA06|0200）
（0x0005F0DC）（0x0005E538）（0x00025DB0）：9A00（9B06|9D06|0200）
（0x00069F1C）（0x00069378）（0x00030BF0）：9A00（A408|AC08|0200）
（0x0006A90C）（0x00069D68）（0x000315E0）：9A00（A408|AC08|    ）
（0x0006A91C）（0x00069D78）（0x000315F0）：9A00（B808|BA08|    ）
（0x0006BE44）（0x0006B2A0）（0x00032B18）：9A00（C207|C907|0200）
（0x000793E4）（0x00078840）（0x000400B8）：9A00（250F|2A0F|    ）
（0x000796A4）（0x00078B00）（0x00040378）：9A00（D20B|D50B|    ）
（0x0007BEAC）（0x0007B308）（0x00042B80）：9A00（D80D|DE0D|    ）
（0x0007E5EC）（0x0007DA48）（0x000452C0）：9A00（2F0F|350F|    ）
（0x000844EC）（0x00083948）（0x0004B1C0）：9A00（7413|7C13|0100）
（0x000849B4）（0x00083E10）（0x0004B688）：9A00（B412|B612|    ）
（0x000849BC）（0x00083E18）（0x0004B690）：9A00（BF12|C112|0100）
（0x000849CC）（0x00083E28）（0x0004B6A0）：9A00（B712|B812|    ）
（0x000849D4）（0x00083E30）（0x0004B6A8）：9A00（C212|C312|0100）
（0x000849E4）（0x00083E40）（0x0004B6B8）：9A00（B912|BC12|    ）
（0x000849EC）（0x00083E48）（0x0004B6C0）：9A00（C412|C712|0100）
（0x00084A04）（0x00083E60）（0x0004B6D8）：9A00（BD12|BE12|    ）
（0x00084A0C）（0x00083E68）（0x0004B6E0）：9A00（C812|C912|0100）
（0x00086E8C）（0x000862E8）（0x0004DB60）：9A00（3D13|4113|0200）
