（修改版地址）（原装版地址）（第４部分地址）指令（参１|参２|参３）
（0x00039AA4）（0x00038F00）（0x00000778）：6C00（FFFF|FCFF|    ）
（0x00039ACC）（0x00038F28）（0x000007A0）：6C00（FFFF|    |0200）
（0x00039AEC）（0x00038F48）（0x000007C0）：6C00（FFFF|0400|    ）
（0x00039AFC）（0x00038F58）（0x000007D0）：6C00（FFFF|    |FEFF）
（0x00039B64）（0x00038FC0）（0x00000838）：6C00（FFFF|    |FEFF）
（0x00039BCC）（0x00039028）（0x000008A0）：6C00（FFFF|0400|    ）
（0x00039C1C）（0x00039078）（0x000008F0）：6C00（FFFF|FCFF|    ）
（0x00039C9C）（0x000390F8）（0x00000970）：6C00（FFFF|    |0200）
（0x00039E94）（0x000392F0）（0x00000B68）：6C00（FFFF|    |0200）
（0x00039ED4）（0x00039330）（0x00000BA8）：6C00（FFFF|    |0400）
（0x00039F4C）（0x000393A8）（0x00000C20）：6C00（FFFF|0400|    ）
（0x00039F8C）（0x000393E8）（0x00000C60）：6C00（FFFF|    |FEFF）
（0x00039FA4）（0x00039400）（0x00000C78）：6C00（FFFF|    |FCFF）
（0x00039FFC）（0x00039458）（0x00000CD0）：6C00（FFFF|FCFF|    ）
（0x0003A394）（0x000397F0）（0x00001068）：6C00（FFFF|0400|FEFF）
（0x0003A3B4）（0x00039810）（0x00001088）：6C00（FFFF|0400|FEFF）
（0x0003A424）（0x00039880）（0x000010F8）：6C00（FFFF|FCFF|0200）
（0x0003A444）（0x000398A0）（0x00001118）：6C00（FFFF|FCFF|0200）
（0x0003A4B4）（0x00039910）（0x00001188）：6C00（FFFF|0800|FCFF）
（0x0003A4D4）（0x00039930）（0x000011A8）：6C00（FFFF|0800|FCFF）
（0x0003FB54）（0x0003EFB0）（0x00006828）：6C00（D20D|0400|FEFF）
（0x0003FB64）（0x0003EFC0）（0x00006838）：6C00（D20D|0400|FEFF）
（0x0003FB7C）（0x0003EFD8）（0x00006850）：6C00（D10D|FCFF|0200）
（0x0003FB8C）（0x0003EFE8）（0x00006860）：6C00（D10D|FCFF|0200）
（0x0003FBEC）（0x0003F048）（0x000068C0）：6C00（D10D|0800|FCFF）
（0x0003FBFC）（0x0003F058）（0x000068D0）：6C00（D20D|F8FF|0400）
