（修改版地址）（原装版地址）（第４部分地址）指令（参１|参２|参３）
（0x0003C8A4）（0x0003BD00）（0x00003578）：2D00（0500|6300|    ）
（0x0003C8AC）（0x0003BD08）（0x00003580）：2D00（0600|6300|    ）
（0x0003C8B4）（0x0003BD10）（0x00003588）：2D00（0700|6300|    ）
（0x0003C8BC）（0x0003BD18）（0x00003590）：2D00（0800|6300|    ）
（0x00085744）（0x00084BA0）（0x0004C418）：2D00（0800|F87F|    ）
（0x000857BC）（0x00084C18）（0x0004C490）：2D00（0800|F87F|    ）
（0x00085814）（0x00084C70）（0x0004C4E8）：2D00（0800|F87F|    ）
（0x00085874）（0x00084CD0）（0x0004C548）：2D00（0800|F87F|    ）
（0x0008621C）（0x00085678）（0x0004CEF0）：2D00（0200|0500|    ）
（0x00086254）（0x000856B0）（0x0004CF28）：2D00（0100|0400|    ）
（0x0008628C）（0x000856E8）（0x0004CF60）：2D00（0200|0300|    ）
（0x000862C4）（0x00085720）（0x0004CF98）：2D00（    |0300|    ）
（0x000862FC）（0x00085758）（0x0004CFD0）：2D00（0100|0500|    ）
（0x00086334）（0x00085790）（0x0004D008）：2D00（0300|0400|    ）
（0x0008663C）（0x00085A98）（0x0004D310）：2D00（    |0500|    ）
（0x000866A4）（0x00085B00）（0x0004D378）：2D00（0400|0900|    ）
（0x000867B4）（0x00085C10）（0x0004D488）：2D00（0600|0700|    ）
（0x00086C4C）（0x000860A8）（0x0004D920）：2D00（0800|F87F|    ）
（0x00087104）（0x00086560）（0x0004DDD8）：2D00（0300|0300|    ）
（0x0008B52C）（0x0008A988）（0x00052200）：2D00（0600|0900|    ）
（0x0008B53C）（0x0008A998）（0x00052210）：2D00（0500|0700|    ）
（0x0008B87C）（0x0008ACD8）（0x00052550）：2D00（0800|0500|    ）
（0x0008B88C）（0x0008ACE8）（0x00052560）：2D00（0700|0900|    ）
（0x0008BDAC）（0x0008B208）（0x00052A80）：2D00（0500|F07F|    ）
（0x0008BDC4）（0x0008B220）（0x00052A98）：2D00（0600|F07F|    ）
（0x0008BE54）（0x0008B2B0）（0x00052B28）：2D00（0700|F07F|    ）
