（修改版地址）（原装版地址）（第４部分地址）指令（参１|参２|参３）
（0x0003FC4C）（0x0003F0A8）（0x00006920）：8200（0D00|6800|    ）
（0x00041694）（0x00040AF0）（0x00008368）：8200（2400|5400|0100）
（0x0004CBDC）（0x0004C038）（0x000138B0）：8200（2600|4900|    ）
（0x0004CBE4）（0x0004C040）（0x000138B8）：8200（2900|4C00|    ）
（0x0004CBEC）（0x0004C048）（0x000138C0）：8200（2C00|4900|    ）
（0x0004CBF4）（0x0004C050）（0x000138C8）：8200（2F00|4C00|    ）
（0x0004CBFC）（0x0004C058）（0x000138D0）：8200（3D00|3E00|    ）
（0x00050714）（0x0004FB70）（0x000173E8）：8200（1800|2800|    ）
（0x0005071C）（0x0004FB78）（0x000173F0）：8200（1600|2600|0100）
（0x00050724）（0x0004FB80）（0x000173F8）：8200（1400|2800|0100）
（0x0005093C）（0x0004FD98）（0x00017610）：8200（0F00|1E00|    ）
（0x00050944）（0x0004FDA0）（0x00017618）：8200（0D00|1C00|    ）
（0x0005094C）（0x0004FDA8）（0x00017620）：8200（0A00|1E00|0100）
（0x0005612C）（0x00055588）（0x0001CE00）：8200（1100|3700|    ）
（0x00056154）（0x000555B0）（0x0001CE28）：8200（0800|2B00|    ）
（0x0005615C）（0x000555B8）（0x0001CE30）：8200（0F00|2400|    ）
（0x00056164）（0x000555C0）（0x0001CE38）：8200（1400|2800|0100）
（0x0005616C）（0x000555C8）（0x0001CE40）：8200（1D00|1F00|0100）
（0x0005618C）（0x000555E8）（0x0001CE60）：8200（1F00|1B00|0100）
（0x00056194）（0x000555F0）（0x0001CE68）：8200（2600|2200|    ）
（0x000561B4）（0x00055610）（0x0001CE88）：8200（2200|1F00|0100）
（0x000561BC）（0x00055618）（0x0001CE90）：8200（2400|1E00|    ）
（0x000561C4）（0x00055620）（0x0001CE98）：8200（2200|1C00|    ）
（0x000561CC）（0x00055628）（0x0001CEA0）：8200（2300|1A00|0100）
（0x000561D4）（0x00055630）（0x0001CEA8）：8200（2200|1900|    ）
（0x000561EC）（0x00055648）（0x0001CEC0）：8200（2700|1400|    ）
（0x000561F4）（0x00055650）（0x0001CEC8）：8200（2A00|1700|    ）
（0x000561FC）（0x00055658）（0x0001CED0）：8200（2B00|1500|0100）
（0x00056204）（0x00055660）（0x0001CED8）：8200（2A00|1400|    ）
（0x0005620C）（0x00055668）（0x0001CEE0）：8200（2800|1600|    ）
（0x00056214）（0x00055670）（0x0001CEE8）：8200（2600|1400|    ）
（0x0005622C）（0x00055688）（0x0001CF00）：8200（1800|2100|0100）
（0x00056234）（0x00055690）（0x0001CF08）：8200（1A00|2300|    ）
（0x0005623C）（0x00055698）（0x0001CF10）：8200（1800|2400|0100）
